prefix,path,bytes,revision,oid,lfs_sha256,url,download_url
issue2569_theory,issue2569_theory/analysis_tensors/assemble/regime.json,1611,a5cf03bbe4807361a74c427a46ad329065f75e30,798a777f98f7987de24eae3aa66990538b60e587,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/assemble/regime.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/assemble/regime.json
issue2569_theory,issue2569_theory/analysis_tensors/assemble/rows_present.npy,7718880,a5cf03bbe4807361a74c427a46ad329065f75e30,0f8a329414fa570df5cffdf49982bfcde0200990,ff74f6f9ec5197dd9bec1e5d60db0cf637ef94ac0f4a412320259439a0313df6,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/assemble/rows_present.npy,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/assemble/rows_present.npy
issue2569_theory,issue2569_theory/analysis_tensors/assemble/split_meta.json,2810,a5cf03bbe4807361a74c427a46ad329065f75e30,7e028e37e0f4c5781c0aa2e28645c01175e2dcf8,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/assemble/split_meta.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/assemble/split_meta.json
issue2569_theory,issue2569_theory/analysis_tensors/der/consumed_input/descriptions_mat_k100.json,1588118,a5cf03bbe4807361a74c427a46ad329065f75e30,f860e99c6f5ce194deb068b9abb32d851a9c8d5c,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/consumed_input/descriptions_mat_k100.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/consumed_input/descriptions_mat_k100.json
issue2569_theory,issue2569_theory/analysis_tensors/der/der_eval.json,1731,a5cf03bbe4807361a74c427a46ad329065f75e30,b377f039ef6c5d582eeb21b4e37ac1f4719fd739,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/der_eval.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/der_eval.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/000fc7e796112b58.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,2fbfcab5331849288557f0a6d4264019545b0b77,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/000fc7e796112b58.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/000fc7e796112b58.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/00fc19f9f20fdc72.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,20439a5b729eed123b59efaa456ee21a769f48bb,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/00fc19f9f20fdc72.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/00fc19f9f20fdc72.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/01a6bb610626f89f.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,55e4015bd5fe754bad0adb87f8a5064a80745bbc,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/01a6bb610626f89f.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/01a6bb610626f89f.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/01d1f8615fc24311.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,8b47781f3e204a598867d4331c17496998a5868a,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/01d1f8615fc24311.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/01d1f8615fc24311.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/042dbe23de04980a.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,55e4015bd5fe754bad0adb87f8a5064a80745bbc,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/042dbe23de04980a.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/042dbe23de04980a.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/04dc1c84a3f45f7f.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,691478468cec3eccf2fa58b4cc3be87faac0ee5e,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/04dc1c84a3f45f7f.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/04dc1c84a3f45f7f.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/050529e09079d612.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,c2ad50567ce32e6cee0d5c6b3e4cc195da7957c0,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/050529e09079d612.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/050529e09079d612.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/051dd209c52b9f43.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,551490f23b969c5c7980d5e5b28f5305887b39ee,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/051dd209c52b9f43.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/051dd209c52b9f43.json
issue2569_theory,issue2569_theory/analysis_tensors/der/judge_cache/059ca896a5a92811.json,90,a5cf03bbe4807361a74c427a46ad329065f75e30,691478468cec3eccf2fa58b4cc3be87faac0ee5e,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/059ca896a5a92811.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/der/judge_cache/059ca896a5a92811.json
